sid,name,time,sat,vmax,lat,lon,eye_prob,category
2013281N12098,PHAILIN,2013-10-08 12:00:00,MET-7,30.0,12.4,94.5,0.9275400042533875,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 12:00:00,MTS-2,30.0,12.4,94.5,,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 15:00:00,FY2-E,30.0,12.5,94.2,7.94290018081665,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 15:00:00,MET-7,30.0,12.5,94.2,0.33726999163627625,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 15:00:00,MTS-2,30.0,12.5,94.2,0.5220500230789185,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 18:00:00,MET-7,30.0,12.7,94.0,5.230800151824951,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 18:00:00,MTS-2,30.0,12.7,94.0,0.8436099886894226,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 21:00:00,FY2-E,33.0,12.9,93.7,-0.059199001640081406,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 21:00:00,MET-7,33.0,12.9,93.7,0.8439099788665771,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-08 21:00:00,MTS-2,33.0,12.9,93.7,0.9992799758911133,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-09 00:00:00,FY2-E,35.0,13.1,93.5,10.158900260925293,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 00:00:00,MET-7,35.0,13.1,93.5,6.69950008392334,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 00:00:00,MTS-2,35.0,13.1,93.5,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 03:00:00,FY2-E,38.0,13.2,93.3,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 03:00:00,MET-7,38.0,13.2,93.3,1.3344000577926636,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 03:00:00,MTS-2,38.0,13.2,93.3,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 06:00:00,FY2-E,40.0,13.2,92.9,0.6325399875640869,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 06:00:00,MET-7,40.0,13.2,92.9,1.5328999757766724,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 06:00:00,MTS-2,40.0,13.2,92.9,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 09:00:00,FY2-E,43.0,13.5,92.5,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 09:00:00,MET-7,43.0,13.5,92.5,11.299300193786621,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 09:00:00,MTS-2,43.0,13.5,92.5,6.257199764251709,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 12:00:00,FY2-E,45.0,13.6,92.4,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 12:00:00,MET-7,45.0,13.6,92.4,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 12:00:00,MTS-2,45.0,13.6,92.4,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 15:00:00,FY2-E,50.0,13.7,92.3,9.762200355529785,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 15:00:00,MET-7,50.0,13.7,92.3,32.62699890136719,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 15:00:00,MTS-2,50.0,13.7,92.3,,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 18:00:00,MET-7,55.0,14.0,91.9,0.8128600120544434,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 18:00:00,MTS-2,55.0,14.0,91.9,5.923999786376953,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 21:00:00,FY2-E,60.0,14.1,91.8,-0.4669699966907501,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 21:00:00,MET-7,60.0,14.1,91.8,0.6071500182151794,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-09 21:00:00,MTS-2,60.0,14.1,91.8,3.362299919128418,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 00:00:00,FY2-E,65.0,14.5,91.4,7.288099765777588,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 00:00:00,MET-7,65.0,14.5,91.4,1.440999984741211,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 00:00:00,MTS-2,65.0,14.5,91.4,1.0146000385284424,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 03:00:00,FY2-E,78.0,14.6,91.0,7.990300178527832,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 03:00:00,MET-7,78.0,14.6,91.0,17.894899368286133,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 03:00:00,MTS-2,78.0,14.6,91.0,1.3597999811172485,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 06:00:00,FY2-E,90.0,15.0,90.7,81.72669982910156,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 06:00:00,MET-7,90.0,15.0,90.7,65.5281982421875,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 06:00:00,MTS-2,90.0,15.0,90.7,32.75830078125,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 09:00:00,FY2-E,100.0,15.1,90.5,100.0,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 09:00:00,MET-7,100.0,15.1,90.5,83.02680206298828,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 09:00:00,MTS-2,100.0,15.1,90.5,49.69499969482422,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 12:00:00,FY2-E,110.0,15.4,90.1,100.0,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 12:00:00,MET-7,110.0,15.4,90.1,100.0,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 12:00:00,MTS-2,110.0,15.4,90.1,67.09459686279297,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 15:00:00,FY2-E,120.0,15.5,89.9,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 15:00:00,MET-7,120.0,15.5,89.9,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 15:00:00,MTS-2,120.0,15.5,89.9,81.29969787597656,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 18:00:00,MET-7,130.0,15.6,89.5,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 18:00:00,MTS-2,130.0,15.6,89.5,79.02369689941406,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 21:00:00,FY2-E,133.0,15.6,89.0,99.58110046386719,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 21:00:00,MET-7,133.0,15.6,89.0,96.33519744873047,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-10 21:00:00,MTS-2,133.0,15.6,89.0,66.88639831542969,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 00:00:00,FY2-E,135.0,15.9,88.6,99.3550033569336,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 00:00:00,MET-7,135.0,15.9,88.6,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 00:00:00,MTS-2,135.0,15.9,88.6,60.56850051879883,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 03:00:00,FY2-E,135.0,15.9,88.5,88.78340148925781,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 03:00:00,MET-7,135.0,15.9,88.5,98.40550231933594,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 03:00:00,MTS-2,135.0,15.9,88.5,50.38650131225586,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 06:00:00,FY2-E,135.0,16.2,88.3,64.0656967163086,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 06:00:00,MET-7,135.0,16.2,88.3,77.79219818115234,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 06:00:00,MTS-2,135.0,16.2,88.3,9.489100456237793,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 09:00:00,FY2-E,138.0,16.5,88.0,9.016200065612793,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 09:00:00,MET-7,138.0,16.5,88.0,59.92369842529297,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 09:00:00,MTS-2,138.0,16.5,88.0,0.2895900011062622,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 12:00:00,FY2-E,140.0,16.8,87.7,61.126399993896484,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 12:00:00,MET-7,140.0,16.8,87.7,69.92060089111328,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 12:00:00,MTS-2,140.0,16.8,87.7,35.05110168457031,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 15:00:00,FY2-E,140.0,16.8,87.3,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 15:00:00,MET-7,140.0,16.8,87.3,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 15:00:00,MTS-2,140.0,16.8,87.3,73.83480072021484,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 18:00:00,MET-7,140.0,16.9,87.0,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 18:00:00,MTS-2,140.0,16.9,87.0,68.62590026855469,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 21:00:00,FY2-E,140.0,17.1,86.7,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 21:00:00,MET-7,140.0,17.1,86.7,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-11 21:00:00,MTS-2,140.0,17.1,86.7,80.11620330810547,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 00:00:00,FY2-E,140.0,17.5,86.5,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 00:00:00,MET-7,140.0,17.5,86.5,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 00:00:00,MTS-2,140.0,17.5,86.5,72.39900207519531,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 03:00:00,FY2-E,138.0,17.7,86.0,97.8812026977539,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 03:00:00,MET-7,138.0,17.7,86.0,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 03:00:00,MTS-2,138.0,17.7,86.0,49.81629943847656,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 06:00:00,FY2-E,135.0,18.1,85.8,99.11360168457031,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 06:00:00,MET-7,135.0,18.1,85.8,100.0,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 06:00:00,MTS-2,135.0,18.1,85.8,64.82530212402344,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 09:00:00,FY2-E,130.0,18.5,85.4,53.14950180053711,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 09:00:00,MET-7,130.0,18.5,85.4,48.75699996948242,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 09:00:00,MTS-2,130.0,18.5,85.4,6.178299903869629,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 12:00:00,FY2-E,125.0,18.7,85.2,-0.17910000681877136,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 12:00:00,MET-7,125.0,18.7,85.2,-0.21252000331878662,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 12:00:00,MTS-2,125.0,18.7,85.2,2.290600061416626,Super Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 15:00:00,FY2-E,113.0,19.1,85.1,4.471099853515625,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 15:00:00,MET-7,113.0,19.1,85.1,-0.15727999806404114,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 15:00:00,MTS-2,113.0,19.1,85.1,18.33099937438965,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 18:00:00,MET-7,100.0,19.5,84.9,-0.6231099963188171,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 18:00:00,MTS-2,100.0,19.5,84.9,-0.2513599991798401,Extremely Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 21:00:00,FY2-E,88.0,19.9,84.6,-1.8653000593185425,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 21:00:00,MET-7,88.0,19.9,84.6,-2.9772000312805176,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-12 21:00:00,MTS-2,88.0,19.9,84.6,-0.9373000264167786,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 00:00:00,FY2-E,75.0,20.4,84.5,3.5748000144958496,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 00:00:00,MET-7,75.0,20.4,84.5,0.26495999097824097,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 00:00:00,MTS-2,75.0,20.4,84.5,-0.19083000719547272,Very Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 03:00:00,FY2-E,63.0,20.9,84.1,7.260000228881836,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 03:00:00,MET-7,63.0,20.9,84.1,10.452899932861328,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 03:00:00,MTS-2,63.0,20.9,84.1,0.5382099747657776,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 06:00:00,FY2-E,50.0,21.5,84.0,,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 06:00:00,MET-7,50.0,21.5,84.0,0.6454200148582458,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 06:00:00,MTS-2,50.0,21.5,84.0,0.6181700229644775,Severe Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 09:00:00,FY2-E,45.0,22.0,83.9,7.276400089263916,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 09:00:00,MET-7,45.0,22.0,83.9,5.3302998542785645,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 09:00:00,MTS-2,45.0,22.0,83.9,2.2578001022338867,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 12:00:00,FY2-E,40.0,22.6,83.9,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 12:00:00,MET-7,40.0,22.6,83.9,9.208399772644043,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 12:00:00,MTS-2,40.0,22.6,83.9,,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 15:00:00,FY2-E,35.0,22.8,83.7,13.033100128173828,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 15:00:00,MET-7,35.0,22.8,83.7,15.375300407409668,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 15:00:00,MTS-2,35.0,22.8,83.7,1.5008000135421753,Cyclonic Storm
2013281N12098,PHAILIN,2013-10-13 18:00:00,MET-7,30.0,23.0,83.5,,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-13 18:00:00,MTS-2,30.0,23.0,83.5,4.01170015335083,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-13 21:00:00,FY2-E,30.0,23.25,83.75,6.707499980926514,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-13 21:00:00,MET-7,30.0,23.25,83.75,1.8240000009536743,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-13 21:00:00,MTS-2,30.0,23.25,83.75,2.18179988861084,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-14 00:00:00,FY2-E,30.0,23.5,84.0,2.5927000045776367,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-14 00:00:00,MET-7,30.0,23.5,84.0,1.2445000410079956,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-14 00:00:00,MTS-2,30.0,23.5,84.0,3.562299966812134,Depression / Deep Depression
2013281N12098,PHAILIN,2013-10-14 03:00:00,FY2-E,27.5,24.0,84.1,,Unknown
2013281N12098,PHAILIN,2013-10-14 03:00:00,MET-7,27.5,24.0,84.1,0.5669000148773193,Unknown
2013281N12098,PHAILIN,2013-10-14 03:00:00,MTS-2,27.5,24.0,84.1,1.1162999868392944,Unknown
2013281N12098,PHAILIN,2013-10-14 06:00:00,FY2-E,25.0,24.5,84.2,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-14 06:00:00,MET-7,25.0,24.5,84.2,,Low Pressure Area
2013281N12098,PHAILIN,2013-10-14 06:00:00,MTS-2,25.0,24.5,84.2,,Low Pressure Area
